"","Date","A","H","M","P","R","S"
"157",157-01-01,6,29.67,0,1,51.4,1
"158",158-01-01,5,5,1,0,27.6,1
"159",159-01-01,3,0,1,1,54.9,1
"160",160-01-01,9,58,0,0,44.4,0
"161",161-01-01,7,49.67,1,0,79,0
"162",162-01-01,5,41.33,0,1,63.4,1
"163",163-01-01,8,52.67,0,1,85.6,1
"164",164-01-01,8,31,1,1,82.5,1
"165",165-01-01,5,39,0,1,59.9,1
"166",166-01-01,5,55,0,1,93.8,0
"167",167-01-01,2,10,1,1,40.9,0
"168",168-01-01,8,52.5,0,1,95.7,1
"169",169-01-01,15,75,0,1,60.7,0
"170",170-01-01,7,36.67,1,1,70.4,1
"171",171-01-01,11,27,0,1,70.8,0
"172",172-01-01,6,12.67,0,1,71.2,1
"173",173-01-01,7,37.67,0,1,83.3,0
"174",174-01-01,4,46.33,1,1,75.9,1
"175",175-01-01,8,13.67,1,1,40.5,0
"176",176-01-01,3,9.33,1,0,86.4,1
"177",177-01-01,12,35.67,0,1,77,1
"178",178-01-01,9,43.33,1,1,69.3,1
"179",179-01-01,7,72.67,0,1,96.1,1
"180",180-01-01,6,39.67,1,1,56,0
"181",181-01-01,3,0,1,0,39.3,1
"182",182-01-01,5,26.33,0,1,57.6,1
"183",183-01-01,4,39.33,0,1,58,1
"184",184-01-01,5,29.67,1,0,49.8,1
"185",185-01-01,7,0,1,1,48.6,1
"186",186-01-01,8,60.33,1,1,99.2,1
"187",187-01-01,9,28,1,1,61.1,0
"188",188-01-01,8,13,0,1,54.5,0
"189",189-01-01,6,0,0,1,41.6,0
"190",190-01-01,7,24,0,1,44,0
"191",191-01-01,9,16.33,0,0,33.1,1
"192",192-01-01,3,6.33,1,1,79.4,1
"193",193-01-01,12,16.67,0,1,63.8,1
"194",194-01-01,3,7,0,0,56.8,1
"195",195-01-01,8,72.33,0,1,94.9,0
"196",196-01-01,4,0,1,1,98.8,1
"197",197-01-01,7,70,0,1,86,1
"198",198-01-01,0,0,1,0,26.1,1
"199",199-01-01,2,4.67,1,1,31.5,0
"200",200-01-01,9,39.33,1,1,87.2,0
"201",201-01-01,1,14.5,0,1,38.1,1
"202",202-01-01,13,65.33,1,1,96.5,0
"203",203-01-01,9,35,1,1,75.1,1
"204",204-01-01,2,15.33,1,1,66.9,1
"205",205-01-01,7,66.33,0,1,94.2,1
"206",206-01-01,7,0,0,1,61.9,1
"207",207-01-01,6,15.33,0,1,64.2,0
"208",208-01-01,8,60.67,1,1,94.6,1
"209",209-01-01,9,70.33,0,1,98.1,1
"210",210-01-01,3,69.67,1,1,47.1,0
"211",211-01-01,10,10,0,0,52.9,1
"212",212-01-01,7,58.67,0,1,91.1,1
"213",213-01-01,9,50.67,0,1,80.5,1
"214",214-01-01,6,24.33,1,0,34.6,1
"215",215-01-01,7,10,1,1,9.3,1
"216",216-01-01,8,55.33,1,1,81.3,0
"217",217-01-01,11,21.33,0,0,8.2,1
"218",218-01-01,8,19,1,1,68.5,0
"219",219-01-01,8,39,0,1,71.6,0
"220",220-01-01,3,70.33,1,1,95,1
"221",221-01-01,0,29.67,1,0,21.8,1
"222",222-01-01,7,0,0,0,26.8,1
"223",223-01-01,4,0,1,0,33.5,0
"224",224-01-01,5,0,0,0,39.7,0
"225",225-01-01,8,33.67,0,1,5.4,0
